obs st co expen wealth    pop    pint dens income   id  growr
  1 36  1   316  41692   3157     6.3   49  13146  680   20.6
  2 36  1   345  58689  28203     7.1  578  21032  710   13.4
  3 36  1   298  55629   4572    24.0   94  15783 1800   -4.0
  4 36  1   480  58867  64628     9.0 1306  16887 1870    3.9
  6 36  1   301  52979  27649    10.5  483  20227 3550    8.0
  7 36  1   187  34141   2699     8.6   65  13635 4430    7.7
  8 36  1   216  55794   5966    15.0  108  19526 5810    4.6
  9 36  1   545  65647   2032     7.7   33  12814 7060   11.8
 10 36  1   309  35390   3404     7.6   59  13788 8900   13.5
 11 36  2    59  35613   1234    34.7   41  14207  100    0.7
 12 36  2   394  43155    390    40.4   11   8882  120  -16.5
 13 36  2   398  19651    831    22.2   23   8159  130   -8.0
 14 36  2   165  25630   1198    35.8   27  12092  140    7.2
 15 36  2   200  19722   1249    20.2   37  10524  200    0.1
 16 36  2   162  22791    860    46.9   22  10747  240    2.4
 17 36  2   256  32952    488    23.4   14   9110  250    5.9
 18 36  2   241  17133   1548    17.3   43   8631  600    2.9
 19 36  2   697  48050    227    44.5    6   9975  740   -9.7
 20 36  2   190  21620    596    17.6   17   9177  790   -7.8
 21 36  2   205  28629    636    30.9   25  10629 1030   20.4
 22 36  2   188  14378   2577     9.5   73   5958 1230    5.4
 23 36  2   296  26598    674    24.6   19   7425 1420   -2.6
 24 36  2   206  18665   1062    30.6   29   8890 1680   11.0
 25 36  2   176  36408   1715    17.5   51  11123 2120    1.3
 26 36  2   307  14350   2189    39.8   60   8150 3080    1.0
 27 36  2   201  18003   1649    22.1   45  11074 3180   -6.4
 28 36  2   376  30848    516    41.3   16   9372 3380    1.4
 29 36  2   717  39688    475    37.8   14  10851 3530   -3.6
 30 36  2   214  18836   1523    18.4   41  10030 4080    2.6
 31 36  2   329  32881   1004    21.3   29   9445 4150   -9.8
 32 36  2   267  22387    724    24.7   20   7871 5760    6.9
 33 36  2   460  41044   1186    13.8   34   9507 7300    4.5
 34 36  2   203  17852   1964    23.4   56  10098 7590   -0.3
 35 36  2   440  32815    328    25.0   11  11127 8690   -7.7
 36 36  2   133  32658   2872    13.6   83  11271 8870   -0.5
 37 36  2   505  47513    261    38.1    7   9139 8880  -22.4
 38 36  2   195  31781   1423    23.7   39  11560 9120   -1.6
 39 36  2   221  16701   1144    23.3   32   7819 9210    0.5
 40 36  3   208  25143   2808    16.7   68  11381  510   20.9
 41 36  3   240  37459   5006     8.7  197  16976  730    0.0
 42 36  3   184  35759  12325     9.7  363  14247 1540    0.6
 43 36  3   177  23089   5715    12.9   73   9769 1850   12.6
 44 36  3   201  27226   6277    17.2  256  12269 1950    1.0
 45 36  3   152  29660   3717     4.4  885  13447 2350    2.2
 46 36  3   147  28329   7203    10.9  219  12853 2860   -2.2
 47 36  3   234  36083   6148     4.0  198  12954 4420    4.5
 48 36  3   203  26880   2214    16.5   48   9630 4730   26.3
 49 36  3   166  31446   5639    13.5  123  13167 4990    6.0
 50 36  3   265  20457   1930    13.8   79  10293 5580   29.5
 51 36  3   376 152529    620    11.2    7  10167 7430  -13.3
 52 36  3   141  20023   2037    19.8   55  10118 8330   28.0
 53 36  3   242  46730  29319    21.2 1058  16855 8460   -0.8
 54 36  3   275  36572  26632     7.2  510  16091 8550   -1.9
 55 36  3   199  29910   5516    12.8   61  11131 9190   13.3
 56 36  4   123  18325   6308    12.2   89  10108  110   -3.0
 57 36  4   269  21663   2210    13.2   43  11829  330   12.5
 58 36  4   194  25431   1095    14.0   27  10084 1330   -0.4
 59 36  4   263  33976    737    16.1   14   8863 1840    3.4
 60 36  4   213  19222   1727    14.4   48   7482 1940    7.9
 61 36  4   137  23054   1313    13.7   38  10332 2210   -0.5
 62 36  4   340  25331   1015    15.5   25  10064 2520    6.5
 63 36  4   637 112196   1120    10.9   25  13672 2650   13.5
 64 36  4   483  27864    847    17.0   18   9540 2820  -11.1
 65 36  4   170  31998   1232     9.0   24  10184 3020    1.2
 66 36  4   255  19210   2054    18.6   51   9131 3030    9.7
 67 36  4   198  25999   2105    16.9   42  10752 3400    3.8
 68 36  4   198  22840   2078    30.3   54  10414 3950   -4.0
 69 36  4   261  31867    590    23.7   16   8144 4090    9.6
 70 36  4   194  20392    861    16.4   27   8683 4200    9.3
 71 36  4   239  17415   1283    21.3   35   6896 4580   18.0
 72 36  4   105  28754    706    16.9   24   9804 4760   10.5
 73 36  4   469  34471    482    26.8   15  11923 4900  -17.5
 74 36  4   249  23709   2394    12.3   59   9266 4950   13.6
 75 36  4   551  50359    712    15.8   18  10823 5070   -7.7
 76 36  4   247  21410   1145    23.8   31   8397 5600   24.4
 77 36  4   229  24579    862    10.1   24  10776 5640   -8.2
 78 36  4   196  25196   1973    20.9   67  13034 6080   -6.2
 79 36  4   416  26150    767    13.3   24  11016 6290   -6.2
 80 36  4   205  24522   1366    24.4   50  11654 6520  -19.2
 81 36  4    96  22960   3358    20.9   96  10868 6830    0.2
 82 36  4   155  30007    715    16.4   22  10886 6990   27.0
 83 36  4   228  32652    451    20.2   25   9442 7370  -21.5
 84 36  4   316  61313    295    16.8    8   8352 7920   32.5
 85 36  4   140  21469   2728    16.4   76  10281 9310    7.3
 86 36  5   109  44354   2365    10.9   80  12690  390    1.8
 87 36  5    84  21571   3168    11.1  150  11182 1000   33.5
 88 36  5   201  27634   2162    13.6   66   9877 1370   17.0
 89 36  5   179  17977   1905     7.4   54   9403 1960   14.2
 90 36  5    94  27146   2694    10.3  124  15481 2890   10.4
 91 36  5   188  32208   1857    23.8   47  11551 3220   -2.8
 92 36  5   185  24287   1412    14.5   42  10777 4180    1.1
 93 36  5   239  50416   1071    19.2   30  11580 4540   11.3
 94 36  5   142  16566   1950    17.6   80  10603 4800    9.5
 95 36  5   127  22497   1105    17.6   69  10556 5230    5.1
 96 36  5   136  25395   1311    16.2   71  10191 5440   13.8
 97 36  5   107  14888   2563    18.8   94   7626 5480  118.5
 98 36  5   316  70474   1210    19.1   31  12454 5860    7.1
 99 36  5   187  36648   3466    11.5  166  20105 6310   -3.4
100 36  5   233  29872   1526    11.0   42  12932 7600    3.1
101 36  5   275  28361    816    17.5   28  11041 7630    9.4
102 36  5   281  42765   2983     8.9  104  14585 7660   13.7
103 36  5   115  44591   1065    33.2   54  13064 7970    4.7
104 36  5   177  26063   2403    24.5   55  11188 8050    2.8
105 36  5   205  24650   1050    18.8   41   9398 8170   19.6
106 36  5   185  25727   1791    13.5   96  13358 8240   -0.3
107 36  5   217  24941   1324    19.2   32  10477 8520    3.7
108 36  5   206  20974   1538    20.7   45   9285 8580    1.1
109 36  6   264  25881   1052    15.1   29  11261  320    6.1
110 36  6   171  31681   4426    17.7   97  12492 1040   -6.3
111 36  6   187  19153   3531    11.7  105  11309 1320   -1.1
112 36  6   249  23033    840    13.1   24   8694 1460   13.6
113 36  6   236 112637   2881    13.8   44  13420 1500   -5.9
